Parameter,python_variable,Units,Formula,Endurosat X-band
X-Band lower limit (downlink),x_band_lower_limit,GHz,,8.025
X-Band upper limit (downlink),x_band_upper_limit,GHz,,8.4
Selected Carrier Frequency,selected_carrier_frequency,GHz,,8.22
Wavelength,wavelength,m,#NAME?,
Tx Power,tx_power,W,10*math.log10(tx_power),2
Peak Boresight Antenna Gain,peak_boresight_antenna_gain,dBi,,17
Interconnect losses (negative) / gains (positive),interconnect_losses_gains,dB,,0.5
Calculated EIRP,calculated_eirp,W,tx_power_dBW + peak_boresight_antenna_gain - interconnect_losses_gains,
Orbit altitude,orbit_altitude,km,,500
Elevation ground to sat,elevation_ground_to_sat,degrees,,10
Calculated slant range,calculated_slant_range,km,,1694.57
Free Space Path Loss term,free_space_path_loss_term,dB,-(92.45 + 20*math.log10(calculated_slant_range) + 20*math.log10(selected_carrier_frequency)),175.32
Atmospheric attenuation,atmospheric_attenuation,dB,,1
Rain attenuation ('fade'),rain_attenuation,dB,,0.5
Scintillation loss,scintillation_loss,dB,,1
Polarisation loss,polarisation_loss,dB,,1
Other propagation losses,other_propagation_losses,dB,,2
Total Propagation Loss,total_propagation_losses,dB,free_space_path_loss_term+atmospheric_attenuation+rain_attenuation+scintillation_loss+polarisation_loss+other_propagation_losses,180.8
System symbol rate (or bandwidth),system_symbol_rate,MSps (or MHz),,30
MODCOD scheme,modcod_scheme,,,16APSK 3/4
MODCOD implementation loss,modcod_implementation_loss,dB,,1.9
Spectral efficiency,spectral_efficiency,bps/Hz,,3
Other radio/protocol overheads,other_radio_protocol_overheads,(%),,0.00%
Channel Throughput,channel_throughput,Mbps,,89
CODMOD-inferred required Eb/N0 (inc. implementation losses),codmod_inferred_required_eb_n0,dB,,7.39
Isotropically received power at satellite antenna input,isotropically_received_power_at_satellite_antenna_input,dBW,total_propagation_losses+calculated_eirp,-161.8
G/T,g_t,dB/K,,24.4
Dish diameter,dish_diameter,m,,3.7
Calculated HPBW,calculated_hpbw,degrees,,0.69
Dish pointing error,dish_pointing_error,degrees,,0.1
Gain rolloff loss at pointing error,gain_rolloff_loss_at_pointing_error,dB,,0.28
Other overall link losses,other_overall_link_losses,dB,,1.5
Boltzmann Constant,boltzmann_constant,W/K/Hz,,1.38E-23
Received Carrier-to-Noise ratio (bandwidth-independent),received_carrier_to_noise_ratio,dB-Hz,,89.4
Supported user data rate,supported_user_data_rate,Mbps,,89
Data Rate in dB-Hz,data_rate_in_db_hz,dB-Hz,,79.49
Received Eb/No,received_eb_no,dB,,9.92
Link Margin,link_margin,dB,received_eb_no - codmod_inferred_required_eb_n0,2.53